collection_id,title_en,title_es,title_pt,indigenous_title,languages_documented,language_codes,countries,collectors,collection_url,islandora_pid
668,CILLA VII: Proceedings of the Seventh Conference on Indigenous Languages of Latin America,CILLA VII: Memorias del Séptimo Congreso de Idiomas Indígenas de Latinoamérica,CILLA VII: Anais da Sétima Conferência sobre Idiomas Indígenas da América Latina,,"Mixe, Tlahuitoltepec; Seri; Mazahua, Central; Ch'ol; Tlahuica; Chuj; Tzotzil; Zoque, San Miguel Chimalapa; Otomí, Ixtenco; Qom; Q'anjob'al; Tojolab'al; Maya, Yucatec; Zapotec, Miahuatec; Zoque, Ocotepec; Wayuu; Otomí, Tilapa; Uru; Kakataibo-Kashibo; Maijuna; Lule; Totonac, Highland; Chichimeco-Jonaz; Pame, Northern; Chinantec, Quiotepec",mxp; sei; maz; ctu; ocu; cac; tzo; zoh; otz; tob; kjb; toj; yua; zam; zoc; guc; otl; ure; cbr; ore; ule; tos; pei; pmq; chq,United States of America,,https://ailla.utexas.org/collections/668,ailla:280019
671,CILLA VIII: Proceedings of the Eighth Conference on Indigenous Languages of Latin America,CILLA VIII: Memorias del Octavo Congreso de Idiomas Indígenas de Latinoamérica,CILLA VIII: Anais da Oitava Conferência sobre Idiomas Indígenas da América Latina,,"Central Diegueño (Kumiai); Chatino, Zenzontepec; Mixtec; Nahuatl, Central; Maya, Yucatec; Zoque, Ocotepec; Mixtec, San Martín Peras; Pai Tavytera; Tarahumara, Central; Totonac, Highland; Pame, Northern",dih; czn; omq; nhn; yua; zoc; jmx; pta; tar; tos; pmq,United States of America,,https://ailla.utexas.org/collections/671,ailla:256152
464,CoLang 2018: Institute on Collaborative Language Research,CoLang 2018: Instituto de Investigación Lingüística Colaborativa,Colang 2018: Instituto de Pesquisa Colaborativa de Língua,,Multiple,mul,United States of America,George Aaron Broadwell,https://ailla.utexas.org/collections/464,ailla:272805
1348,Collaborative Documentation of Mako,La Documentación Colaborativa de Mako,A Documentação Colaborativa de Mako,,Mako,wpc,Venezuela,Jorge Emilio Rosés Labrada,https://ailla.utexas.org/collections/1348,ailla:124494
2043,Collection of Documentation and Revitalization of the Iskonawa Language,Colección de Documentación y Revitalización de la Lengua Iskonawa,Coleção de Documentação e Revitalização da Língua Iskonawa,,Iskonawa,isc,Peru,Carolina Rodríguez Alzza,https://ailla.utexas.org/collections/2043,
401,"Collection of Miskito, Quechua and Tseltal of June Nash","Colección de Mískito, Quechua y Tseltal de June Nash","Coleção de Miskito, Quechua e Tseltal de June Nash",,"Quechua, South Bolivian; Tzeltal; Mískito",quh; tzh; miq,Peru; Nicaragua,June Nash,https://ailla.utexas.org/collections/401,ailla:124382
390,"Collection of Nahuatl of the Sierra Nororiental de Puebla, Mexico of Jonathan Amith",Colección del Náhuatl de la Sierra Nororiental de Puebla de Jonathan Amith,"Coleção de Nahuatl da Sierra nororiental de Puebla, México de Jonathan Amith",,"Nahuatl, Highland Puebla",azz,Mexico,Jonathan Amith,https://ailla.utexas.org/collections/390,ailla:124515
465,Colombian Languages Collection of John McDowell,Colección de Lenguas Colombianas de John McDowell,Coleção de idiomas colombianos de John McDowell,,Kamsá; Inga,kbh; inb,Colombia,John McDowell,https://ailla.utexas.org/collections/465,ailla:124423
503,Colombian Languages Collection of Katherine Bolaños Quiñonez,Colección de Lenguas Colombianas de Katherine Bolaños Quiñonez,Coleção de idiomas colombianos de Katherine Bolaños Quiñonez,,Kakwa,cbv,Colombia,Katherine Bolaños Quiñonez,https://ailla.utexas.org/collections/503,ailla:124476
511,Colombian Languages Collection of Tulio Rojas Curieux,Colección de Lenguas Colombianas de Tulio Rojas Curieux,Coleção de idiomas colombianos de Tulio Rojas Curieux,,Páez,pbb,Colombia,Tulio Rojas Curieux,https://ailla.utexas.org/collections/511,ailla:124387
683,"Corpus of Kumiai and Ko’alh spoken in Baja California, Mexico of Margaret Field","Corpus de Kumiai y Ko'alh Hablado en California Baja, México de Margaret Field","Corpus de Kumiai e Ko'alh falou em Baja California, México de Margaret Field",,Central Diegueño (Kumiai),dih,Mexico,Margaret Field,https://ailla.utexas.org/collections/683,ailla:124455
544,Costa Rican Languages Collection of Adolfo Constenla Umaña,Colección de las Lenguas de Costa Rica de Adolfo Constenla Umaña,Costa Rica Languages ​​Coleção de Adolfo Constenla Umaña,,Chorotega; Subtiaba,cjr; sut,Costa Rica,Adolfo Constenla Umaña,https://ailla.utexas.org/collections/544,ailla:124480
983,Curripaco Collection of Jonathan Hill,Colección Curripaco de Jonathan Hill,Coleção Curripaco de Jonathan Hill,,Curripaco,kpc,Venezuela,Jonathan Hill,https://ailla.utexas.org/collections/983,ailla:124457
673,Data Management Plans for Linguistic Research,Planes de Administración de Datos para Investigación Lingüística,Planos de gerenciamento de dados para pesquisa linguística,,Multiple,mul,United States of America,Andrea Berez-Kroeker; Lauren B. Collister; Susan Smythe Kung,https://ailla.utexas.org/collections/673,ailla:254603
1501,Dâw Language Collection,La Colección del Idioma Dâw,A Coleção de Língua Dâw,,Dâw,kwa,United States of America; Brazil,Jéssica Costa; Wallace Andrade; Luciana Storto; Sunkulp Ananthanarayan; Rosane Araújo da Silva; Maria Auxiliadora de Souza Castro; Mateus Souza Sanches; Karolin Obert; Patience Epps; Clariana Assis; Pedro Morães de Souza; Tatiane Barroso; Valteir Fernandes Marques,https://ailla.utexas.org/collections/1501,ailla:254973
1441,Dependency Treebank derived from the Mbyá Guaraní Collection of Robert Dooley,Corpus Sintácticamente Anotado Derivado de la Colección Mbyá Guaraní de Robert Dooley,Árvore de Dependência Derivada da Coleção Mbyá Guaraní de Robert Dooley,,"Guaraní, Mbyá",gun,Brazil; Canada,Robert A. Dooley; Guillaume Thomas,https://ailla.utexas.org/collections/1441,ailla:258180
1161,Duck and Frog Stories in Chuquisaca Quechua,Cuentos de sapo y pato en quechua de Chuquisaca,Histórias de pato e sapo na quechua de Chuquisaca,Chuquisacap qhichwa parlayninpi pilimantawan jamp’atumantawan ima willaykuna,"Quechua, South Bolivian",quh,Bolivia,Susan Kalt,https://ailla.utexas.org/collections/1161,ailla:258876
923,"Ecological Oral Histories from Ancash, Peru","Historias Orales Ecologicas de Ancash, Peru","Histórias orais ecológicas de Ancash, Peru",,"Quechua, Ancash Huayllas",qwh,Peru,Gladys Jiménez; Molly Polk,https://ailla.utexas.org/collections/923,ailla:276628
546,Ecuadorian Languages Collection of John McDowell,Colección de Idiomas Ecuatorianos de John McDowell,Coleção de idiomas equatorianos de John McDowell,,"Quichua, Imbabura",qvi,Ecuador,John McDowell,https://ailla.utexas.org/collections/546,ailla:124496
1402,Ecuadorian Lowland Quechua Collection of Alexander Rice,La Colección del Quechua Ecuatoriano Amazónico de Alexander Rice,Coleção da Quíchua  Equatoriana Amazônica de Alexander Rice,,"Quichua, Tena Lowland; Quechua, Pastaza",quw; qvz,Ecuador; Canada,Alexander H. Rice,https://ailla.utexas.org/collections/1402,ailla:269474
684,Educational Materials Collection of Terrence Kaufman,Colección de los Materiales Educativos de Terrence Kaufman,Coleção de materiais educacionais de Terrence Kaufman,,"Chontal, Highland Oaxaca; Zoque, Santa María Chimalapa; K'ichee'; Xinka; Lenca; Quechua; Nahuatl; Uto-Aztecan; Totonacan; Panoan; Totonac; Chuj; Tzotzil; Tzeltal; Awakateko; Arawakan; Mixe-Zoque; Zoque; Mayan; Q'eqchi'; Guaraní, Paraguayan; Otomanguean; Chibchan; Chorti; Zoque, Soteapan; Q'anjob'al; Kaqchikel; Popti'; Poqomchi'; Paiute, Southern; Ixil; Chontal, Tabasco; Tojolab'al; Multiple; Maya, Yucatec; Zapotec, Isthmus; Tukanoan; Nahuatl, Sierra de Zongolica; Nahuatl, Classical; Chiapanec; Yuman-Cochimí; Comanche; Serrano; Mangue; Zapotec, Mitla; Tübatulabal; Purepecha; Chinook Jargon; Mono; Luiseño; Cahuilla; Hopi; Tepehuan, Northern; Tarahumaran; Cáhita; Cora; Huichol; Siouan; Winnebago; Omaha-Ponca; Osage; Dakota; Hidatsa; Crow; Mandan; Algonquian; Ofo; Biloxi; Tutelo; Miwok, Southern Sierra; Miwok, Central Sierra; Miwok, Northern Sierra; Miwok, Plains; Catawba; Matagalpa; Cariban; Macro-Jê; Tacanan; Tupian; Epi-Olmec",chd; zoh; quc; xin; len; qwe; nah; azc; cai; sai; cai; cac; tzo; tzh; agu; awd; cai; cai; myn; kek; gug; omq; cba; caa; poi; kjb; cak; jac; poh; ute; ixl; chf; toj; mul; yua; zai; sai; nlv; nci; cip; nai; com; ser; mom; zaw; tub; tsz; chn; mnr; lui; chl; hop; ntp; azc; azc; azc; hch; sio; win; oma; osa; dak; hid; cro; mhq; alg; ofo; bll; tta; skd; csm; nsq; pmw; chc; mtn; sai; sai; sai; tup; xep,United States of America,Terrence Kaufman,https://ailla.utexas.org/collections/684,ailla:247465
601,Emberá Collection of Rachel Crandell,Colección Emberá de Rachel Crandell,Coleção Emberá de Rachel Crandell,,"Emberá, Northern",emp,Panama,Rachel Crandell,https://ailla.utexas.org/collections/601,ailla:124381
