language_id,name_en,name_es,name_pt,indigenous_name,alternative_name,iso_639_3_code,language_family,language_family_id,language_family_code,countries,country_codes,ailla_language_url,description,islandora_pid,collection_count,collection_urls,earliest_item_year,latest_item_year,total_items,public_items,earliest_deposit_year,latest_deposit_year,latitude,longitude
130,Bará,bará,bará,Waí Maha,"Barasano, Bará-Tuyuka, Northern Barasano, Waimaha, Waimasa, Waymasa",bao,Tukanoan,275.0,sai,Brazil; Colombia,BRA; COL,https://ailla.utexas.org/languages/130,"Spoken in Brazil and Colombia in Southeastern Vaupés Department, tributaries of mid and upper Pira-Paraná, upper Papurí and Tiquié, Mitú.

Not to be confused with a dormant language called Waimaha. Ethnologue considers the Bará name (which derives from a Lingua Geral term for an aromatic medicinal herb) pejorative, although this name is widely used outside of linguistics. The Northern Barasano name was created by missionary linguists associated with the Summer Institute of Linguistics, and Waí Maha (and variations) derives from a Tucanoan expression for 'fish people', the name of the patrilineal clan associated wit the Bará language.
(Jean Jackson, p.c., 2020)",ailla:119619,3,https://ailla.utexas.org/collections/1341; https://ailla.utexas.org/collections/405; https://ailla.utexas.org/collections/1821,1968.0,2022.0,26,21,2006.0,2022.0,,
292,Barasana-Eduria,barasana-eduria,barasana-eduria,Jãnerã-Eduria Oca,"Banera yae, Barasano, Come masa, Comematsa, Barasana-Eduria, Edulia, Eduria, Hanera oka, Janera, Pan",bsn,Tukanoan,275.0,sai,Colombia,COL,https://ailla.utexas.org/languages/292,Barasana-Eduria,ailla:119786,3,https://ailla.utexas.org/collections/405; https://ailla.utexas.org/collections/1821; https://ailla.utexas.org/collections/841,1963.0,2022.0,95,94,2014.0,2022.0,,
578,Barbacoan,barbacoano,barbacoana,,"Barbacoana, Barbakóan",sai,South American Indigenous Languages,556.0,sai,Colombia; Ecuador,COL; ECU,https://ailla.utexas.org/languages/578,,ailla:280065,8,https://ailla.utexas.org/collections/662; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1004; https://ailla.utexas.org/collections/1821,,,0,0,,,,
294,Baré,baré,baré,Baré,"Arihini, Barauana, Barauna, Barawana, Cunipusana, Ihini, Maldavaca, Mitua, Yavita",bae,Arawakan,190.0,awd,Venezuela,VEN,https://ailla.utexas.org/languages/294,Baré,ailla:119788,0,,,,1,1,2014.0,2014.0,,
619,Batanga,batanga,batanga,Batanga,"Noku, Batanga-Banda, Noho",bnm,Niger-Congo,505.0,nic,Cameroon,CMR,https://ailla.utexas.org/languages/619,Batanga,ailla:284699,0,,2020.0,2020.0,1,1,2022.0,2022.0,,
537,Belize Kriol,Kriol de Belice,crioulo belizenho,Kriol,"Western Caribbean Creole, Belizean Creole, Miskito Coast Creole English",bzj,,,,Belize,BLZ,https://ailla.utexas.org/languages/537,,ailla:257603,1,https://ailla.utexas.org/collections/609,2018.0,2020.0,3,3,2018.0,2022.0,,
346,Biloxi,biloxi,biloxi,Tanêksąyaa ade,,bll,Siouan,335.0,sio,United States of America,USA,https://ailla.utexas.org/languages/346,Biloxi,ailla:119840,1,https://ailla.utexas.org/collections/684,1964.0,2005.0,2,1,2011.0,2014.0,,
522,Blackfoot,Blackfoot,siksiká,Siksiká,"Pied Noir, Siksika, Niitsipowahsin",bla,Algonquian,344.0,alg,United States of America; Canada,USA; CAN,https://ailla.utexas.org/languages/522,,ailla:256153,1,https://ailla.utexas.org/collections/1663,1957.0,1957.0,1,1,2017.0,2017.0,,
11,Bocotá,bokotá,buglere,Buglere,"Bobota, Bofota, Bogota, Bokota, Bukueta, Murire, Nortenyo, Veraguas Sabanero",sab,Chibchan,7.0,cba,Panama,PAN,https://ailla.utexas.org/languages/11,Bocotá,ailla:119498,2,https://ailla.utexas.org/collections/417; https://ailla.utexas.org/collections/532,1971.0,1988.0,16,16,2002.0,2005.0,,
567,Bora,bora,bora,Miamunaa,"Bora-Miranya, Booraa, Mïamuna, Miraña, Miranya, Miranas, Miamuna’a, Meamuyna",boa,South American Indigenous Languages,556.0,sai,Brazil; Colombia; Peru,BRA; COL; PER,https://ailla.utexas.org/languages/567,Part of the small Boran language family. Sometimes proposed to be related to Witotoan languages.,ailla:274703,0,,,,0,0,,,,
609,Borôro,bororo,bororo,Boe Wadáru,Boe,bor,South American Indigenous Languages,556.0,sai,Brazil; Bolivia,BRA; BOL,https://ailla.utexas.org/languages/609,,ailla:284517,1,https://ailla.utexas.org/collections/405,2021.0,2021.0,2,2,2022.0,2022.0,,
474,Brazilian Sign Language,lengua de señas brasileña,língua brasileira de sinais,língua brasileira de sinais,"Língua de Sinais Brasileira, LIBRAS, LSB, Língua Brasileira de Sinais",bzs,,,,Brazil,BRA,https://ailla.utexas.org/languages/474,Brazilian Sign Language,ailla:254618,0,,1990.0,1990.0,1,1,2017.0,2017.0,,
189,Bribri,bribrí,bribri,Bribri,Talamanca,bzd,Chibchan,7.0,cba,Costa Rica,CRI,https://ailla.utexas.org/languages/189,Bribri,ailla:119683,1,https://ailla.utexas.org/collections/1301,1983.0,2006.0,77,4,2008.0,2010.0,,
216,Cabécar,cabécar,cabécar,Sá jé ditsö ktö,Chirripó,cjp,Chibchan,7.0,cba,Costa Rica,CRI,https://ailla.utexas.org/languages/216,,ailla:119710,1,https://ailla.utexas.org/collections/1301,1990.0,1990.0,1,1,2010.0,2010.0,,
571,Cabiyarí,cabiyarí,kabiyari,cabiyarí,"Cabiuarí, Kawiyarí, Kawiri, Kawillary, Kawiarí, Kauyarí, Kabiyarí, Cuyare, Cauyarí, Cabuyari",cbb,Arawakan,190.0,awd,Colombia,COL,https://ailla.utexas.org/languages/571,Cabiyarí,ailla:274707,0,,1968.0,1968.0,1,1,,,,
277,Cacaopera,cacaopera,cacaopera,cacaopera,,ccr,Misumalpan,365.0,cai,El Salvador,SLV,https://ailla.utexas.org/languages/277,Cacaopera,ailla:119771,1,https://ailla.utexas.org/collections/1265,1973.0,1973.0,2,2,2008.0,2017.0,,
332,Cáhita,cahita,cáhita,cahita,,azc,Uto-Aztecan,225.0,azc,Mexico,MEX,https://ailla.utexas.org/languages/332,Cáhita,ailla:119826,6,https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1663; https://ailla.utexas.org/collections/1701,1964.0,1964.0,1,1,2014.0,2014.0,,
389,Cahuapanan,Cahuapanan,cahuapano,Cahuapanan,,sai,South American Indigenous Languages,556.0,sai,Peru,PER,https://ailla.utexas.org/languages/389,Cahuapanan,ailla:119884,8,https://ailla.utexas.org/collections/662; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1004; https://ailla.utexas.org/collections/1821,,,0,0,,,,
327,Cahuilla,cahuilla,ivilyuat,Ivia,,chl,Uto-Aztecan,225.0,azc,United States of America,USA,https://ailla.utexas.org/languages/327,,ailla:119821,1,https://ailla.utexas.org/collections/684,1964.0,1994.0,3,3,2014.0,2017.0,,
585,Capanahua,capanahua,capanahua,Capa Baquebo,"Capacho, Capabaquebo, Capanawa, Kapanawa, Nuquencaibo",kaq,Panoan,230.0,sai,Peru,PER,https://ailla.utexas.org/languages/585,The name Capacho is today considered pejorative.,ailla:280072,1,https://ailla.utexas.org/collections/666,2007.0,2007.0,1,1,2021.0,2021.0,,
566,Carapana,carapana,carapana,Carapana,"Carapana-Tapuya, Muxtea, Moxdoa, Mochda, Mi tea, Mextã, Karapanã, Karapaná, Karapano",cbc,Tukanoan,275.0,sai,Brazil; Colombia,BRA; COL,https://ailla.utexas.org/languages/566,Carapana,ailla:274702,1,https://ailla.utexas.org/collections/405,1978.0,2021.0,8,8,2020.0,2022.0,,
354,Cariban,caribe,caribenho,caribe,,sai,South American Indigenous Languages,556.0,sai,Brazil; Colombia,BRA; COL,https://ailla.utexas.org/languages/354,Cariban,ailla:119848,8,https://ailla.utexas.org/collections/662; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1004; https://ailla.utexas.org/collections/1821,1964.0,1964.0,1,1,2014.0,2014.0,,
603,Carijona,carijona,karihona,Hyanakoto,"Umawa, Carifuna, Carihona, Hianacoto, Hianacoto-Umaua, Hianakoto, Huaque, Kaliohona, Karihona, Karijona, Koto, Omagua, Tsahá",cbd,Cariban,354.0,sai,Colombia,COL,https://ailla.utexas.org/languages/603,,ailla:280671,0,,1989.0,1989.0,1,1,,,,
352,Catawba,catawba,catawba,,,chc,Siouan,335.0,sio,United States of America,USA,https://ailla.utexas.org/languages/352,,ailla:119846,1,https://ailla.utexas.org/collections/684,1964.0,1964.0,1,1,2014.0,2014.0,,
558,Central American Indigenous Languages,"Centroamérica, lenguas indígenas de",Línguas Indígenas da América Central,"Centroamérica, lenguas indígenas de",,cai,,,,Guatemala; El Salvador,GTM; SLV,https://ailla.utexas.org/languages/558,Central American Indigenous Languages,ailla:274682,20,https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1003; https://ailla.utexas.org/collections/1663; https://ailla.utexas.org/collections/1663; https://ailla.utexas.org/collections/1663; https://ailla.utexas.org/collections/1663; https://ailla.utexas.org/collections/555; https://ailla.utexas.org/collections/1701; https://ailla.utexas.org/collections/1701; https://ailla.utexas.org/collections/1701; https://ailla.utexas.org/collections/1701; https://ailla.utexas.org/collections/1701; https://ailla.utexas.org/collections/1701; https://ailla.utexas.org/collections/1242; https://ailla.utexas.org/collections/1242; https://ailla.utexas.org/collections/1242; https://ailla.utexas.org/collections/703,,,0,0,,,,
251,Central Diegueño (Kumiai),kumiai,kumeyaay,Kumeyaay,"Campo, Cochimí, Comeya, Cuchimí, Diegueño, Kamia, Kamiai, Kamiyahi, Kamiyai, Ki-Miai, Ko’al, Ku’ahl, Kumeyaai, Kumeyaay, Kumia, Kw’aal, Quemayá, Tipai’, Tipái, Tipéi",dih,,,,Mexico,MEX,https://ailla.utexas.org/languages/251,"Ko’alh is the variety spoken in Santa Catarina, which is a community of Baja CA, MX where Paipai is spoken. Ko’alh is not entirely mutually intelligible with Kumiai, and completely different from Paipai.",ailla:119745,2,https://ailla.utexas.org/collections/671; https://ailla.utexas.org/collections/683,2008.0,2018.0,89,89,2009.0,2018.0,,
